comparison,metric,n_a,n_b,mean_a,sd_a,mean_b,sd_b,median_a,median_b,test,statistic,p_value,cohens_d,significant,effect_magnitude
S2 vs S4,volume_um3,96,89,6.193596185852537,2.8028822799498085,4.443660978203683,1.3072935488627797,5.063133713333736,4.440025004349698,Mann-Whitney U,6569.0,2.7764046780716685e-10,0.7905279756511129,True,medium
S2 vs S4,surface_area_um2,96,89,95.4016300579384,40.6732387969076,64.62585005563798,23.787083306260385,85.59431608873254,64.60714820963626,Mann-Whitney U,6670.0,4.446340950074868e-11,0.9151651676186037,True,large
S2 vs S4,lateral_spread_um,96,89,6.8357849934895825,2.2730169594591727,8.440275193117975,4.979864211559052,6.833367187500002,6.271999999999991,Mann-Whitney U,4109.0,0.6551966618602384,-0.419808720210675,False,small
S2 vs S4,z_span_um,96,89,6.121494588216145,2.5606551560279796,5.683379389044944,2.24659212395674,5.258984374999997,5.235664062499993,Mann-Whitney U,4626.0,0.3313351577849091,0.18143413341969733,False,small
S2 vs S4,ipl_depth_pct,96,89,50.23885946348445,23.692530752678117,57.212143125758004,24.27078972553696,45.76807819442008,49.75001131310101,Mann-Whitney U,3555.0,0.048957730001966196,-0.2908887140439184,True,small
S2 vs S4,sa_v_ratio,96,89,15.921089075613358,3.5416525296000856,14.665026084487641,3.4587353705435215,15.94519821396024,14.631248996949639,Mann-Whitney U,5112.0,0.021057960574738008,0.3586676408700913,True,small
S2 vs S4,sphericity,96,89,0.17962798352500875,0.04683881882186978,0.21727692681229926,0.06349550838881445,0.17031031016330447,0.19505273096441658,Mann-Whitney U,2466.0,6.994678567612839e-07,-0.6786482429544328,True,medium
S2 vs S4,aspect_ratio,96,89,0.9325629820966693,0.3174791470179198,0.8009977616498137,0.3134406077454783,0.857210260755691,0.7562109764415749,Mann-Whitney U,5259.0,0.0067094770393458306,0.41694787487867485,True,small
Dorsal vs Ventral,volume_um3,83,102,4.58824920536749,1.1411463389040408,5.973003694671273,2.8901031874230037,4.606713690277695,4.84627766476083,Mann-Whitney U,3199.0,0.004329386301514639,-0.6076369937554484,True,medium
Dorsal vs Ventral,surface_area_um2,83,102,70.68116694024891,24.810979106711496,88.66392435758047,42.84657390967917,68.32973778821744,78.58815837781019,Mann-Whitney U,3326.0,0.01233083525918494,-0.5008652856899034,True,medium
Dorsal vs Ventral,lateral_spread_um,83,102,5.471890342620481,1.871451683954683,9.345617187499997,4.242817574778393,5.032445312500002,8.63178906249999,Mann-Whitney U,1719.0,3.951210384616977e-12,-1.1420710717635525,True,large
Dorsal vs Ventral,z_span_um,83,102,4.957741340361447,1.9068279890150848,6.686193282781862,2.519348809026723,4.6312656249999975,6.302320312500001,Mann-Whitney U,2252.0,4.564670168921759e-08,-0.7629593697728682,True,medium
Dorsal vs Ventral,ipl_depth_pct,83,102,37.070997119730755,12.024259721934703,67.0384165269541,23.220558012963416,35.36373035747701,73.60655143307626,Mann-Whitney U,1373.0,2.924356876876315e-15,-1.5742398884656943,True,large
Dorsal vs Ventral,sa_v_ratio,83,102,15.587519175793501,4.020978679275514,15.096546874386485,3.115561750343063,15.34596282048271,15.266364775464423,t-test,0.9355983672216688,0.35071299011536944,0.13830446064377533,False,small
Dorsal vs Ventral,sphericity,83,102,0.20440770720714763,0.06402696227127036,0.1923146392794335,0.0531969423669063,0.18847423775771052,0.18205373905667124,Mann-Whitney U,4630.0,0.27369663124462007,0.20743167333416723,False,small
Dorsal vs Ventral,aspect_ratio,83,102,0.9365959333257492,0.2708974274077423,0.8144841627654555,0.3492613746963249,0.9712691967441904,0.7733053014006264,Mann-Whitney U,5401.0,0.0012682499001754068,0.3857516729455608,True,small
Dorsal S4 vs Ventral S4,volume_um3,47,42,4.205351442845356,0.8265741507092668,4.710340696342764,1.6624177715625064,4.460678927500261,4.440025004349698,Mann-Whitney U,882.0,0.3903604041283171,-0.3915178308852894,False,small
Dorsal S4 vs Ventral S4,surface_area_um2,47,42,57.14356273294248,15.578388400913326,72.99888586913055,28.39325873375631,60.28833164558791,70.04383634720642,Mann-Whitney U,590.0,0.0011171572998433844,-0.7033005143809334,True,medium
Dorsal S4 vs Ventral S4,lateral_spread_um,47,42,4.487876163563827,1.1305214725104904,12.863197916666664,3.721072895464767,4.305179687500001,13.870499999999993,Mann-Whitney U,8.0,8.74264049790861e-16,-3.121065582250959,True,large
Dorsal S4 vs Ventral S4,z_span_um,47,42,4.694796708776595,2.0569024837057324,6.789650483630954,1.9266962974332886,4.585203125,6.715281250000004,Mann-Whitney U,364.0,3.104485933912473e-07,-1.0492110023668209,True,large
Dorsal S4 vs Ventral S4,ipl_depth_pct,47,42,36.23737434649774,8.470418368384552,80.68390818826356,10.731580883312697,35.316807653914324,83.7314351299768,Mann-Whitney U,0.0,5.101273184941089e-16,-4.628598386243982,True,large
Dorsal S4 vs Ventral S4,sa_v_ratio,47,42,13.804575151547178,3.4132959058408483,15.627911652301966,3.28732167587505,14.407938043576983,15.68884757762147,Mann-Whitney U,668.0,0.008844923873710301,-0.5435464645648589,True,medium
Dorsal S4 vs Ventral S4,sphericity,47,42,0.23404159583837547,0.06674009462879733,0.19851646385454735,0.054527035171549824,0.2103798025553554,0.18501442051366107,Mann-Whitney U,1398.0,0.0007402463124117206,0.5796380145393871,True,medium
Dorsal S4 vs Ventral S4,aspect_ratio,47,42,1.026394799007143,0.24467957704564033,0.5487677436547073,0.14243611333983697,1.010626357402667,0.5559921355415334,Mann-Whitney U,1890.0,1.183564855498123e-13,2.3526591360821016,True,large
VL vs KM,volume_um3,88,97,5.258833654590128,2.278334100531186,5.436017518536497,2.4687764441642868,4.6522754911369955,4.699773773324394,Mann-Whitney U,4057.0,0.5627751373943459,-0.07444264868800991,False,small
VL vs KM,surface_area_um2,88,97,79.45106748751772,34.645377026812916,81.63467218157021,39.00439606409595,75.61428858122741,74.68235012516143,Mann-Whitney U,4230.0,0.9178842786357231,-0.05902244448588593,False,small
VL vs KM,lateral_spread_um,88,97,7.594929332386361,3.9415969270163362,7.619237838273194,3.8734718829256667,6.710589843750007,6.833367187500002,Mann-Whitney U,4212.0,0.8787239513509322,-0.006223364069401122,False,small
VL vs KM,z_span_um,88,97,5.875303932883523,2.431610139777895,5.942860824742268,2.4180507119581756,5.232531249999994,5.288570312499999,Mann-Whitney U,4191.0,0.8334158450510516,-0.027864183145255104,False,small
VL vs KM,ipl_depth_pct,88,97,52.375118557579384,23.764531370280793,54.69897745999984,24.585792331539345,46.20861502251399,52.12658747382275,Mann-Whitney U,4026.5,0.5075968967929518,-0.09603185986270626,False,small
VL vs KM,sa_v_ratio,88,97,15.380373591064131,3.4885045535103494,15.259164915099365,3.619636588146664,15.266364775464423,15.282638656843137,t-test,0.23140970606926356,0.8172550649711638,0.034067497420078266,False,small
VL vs KM,sphericity,88,97,0.19711018708444722,0.05662163732222799,0.19831171588932084,0.06035307020343038,0.18458981574176828,0.18398102856180149,Mann-Whitney U,4274.5,0.9868389200129434,-0.02050084617260678,False,small
VL vs KM,aspect_ratio,88,97,0.8663799742762492,0.32133270556711613,0.8718908178536467,0.323325014048551,0.8216035747883452,0.8215159281684328,Mann-Whitney U,4231.0,0.9200664391087614,-0.01709428025135625,False,small
